№; region;customer; type; receiver;win; model; ;final price; trades date
12;Костромская область;"ОГКУ ""АГЗКО""";КТ;64;Hitachi;Scenaria;1;49 995 000,00;17.01.2020 9:05
13;Костромская область;"ОГКУ ""АГЗКО""";КТ;16;МТЛ;"OPTIMA CT540"" ";1;41 990 000,00;14.01.2020 10:20
14;Москва;"ГБУЗ ""МОРОЗОВСКАЯ ДГКБ ДЗМ""";АПР;3;НордикНейроЛаб АС;;1;20 919 727,85;17.01.2020 10:13
15;Республика Адыгея;КОМИТЕТ РЕСПУБЛИКИ АДЫГЕЯ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;КРД-3;УРИ+ППМ;МТЛ;УниКоРД-МТ-Плюс;1;20 900 000,00;14.01.2020 10:45
16;Волгоградская область;ОБЛКОМЗАКУПКИ;РХА;ПП;Philips;Veradius Unity;1;19 070 200,00;17.01.2020 12:20
17;Белгородская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА И ЛИЦЕНЗИРОВАНИЯ БЕЛГОРОДСКОЙ ОБЛАСТИ;М;ППС;Fujifilm;Amulet Innovality (FDR MS-3500;1;18 800 000,00;15.01.2020 9:40
18;Санкт-Петербург;АДМИНИСТРАЦИЯ АДМИРАЛТЕЙСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;КРД-2/СМ;ППС;Samsung;GU60A-65 ;1;14 113 200,00;14.01.2020 10:45
19;Москва;"ГБУЗ ""ГКБ ИМ. С.С. ЮДИНА ДЗМ""";;ППМ;;;;не состоялся;10.01.2020 11:50
20;Санкт-Петербург;АДМИНИСТРАЦИЯ ВЫБОРГСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;КРД-2;ППС;Адани;УНИЭКСПЕРТ;1;15 468 131,16;17.01.2020 10:35
21;Свердловская область;"ГАУЗ СО ""ТАЛИЦКАЯ ЦРБ""";РХА;УРИ;н/д;;1;7 300 000,00;09.01.2020 14:00
22;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;МРТ;1,5;;SIGNA Voyager ;1;84 999 999,99;21.01.2020 10:20
23;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;МРТ;1,5;;MAGNETOM Aera ;1;85 000 000,00;21.01.2020 10:20
24;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;КТ;16;МТЛ;OPTIMA CT540;1;33 244 510,00;22.01.2020 9:50
25;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;КТ;16;МТЛ;OPTIMA CT540;1;33 244 510,00;22.01.2020 9:50
26;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;КТ;16;МТЛ;OPTIMA CT540;1;33 244 510,00;22.01.2020 9:50
27;Москва;ЦКБ ГА;МРТ;1,5;;Optima MR450w ;1;80 794 500,00;28.01.2020 10:02
28;Белгородская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА И ЛИЦЕНЗИРОВАНИЯ БЕЛГОРОДСКОЙ ОБЛАСТИ;ОФЭКТ;;;Symbia Intevo Bold;1;78 878 880,00;21.01.2020 10:50
29;Кабардино-Балкарская Республика;МИНЗДРАВ КБР;МРТ;1,5;;SIGNACreator;1;77 704 577,00;21.01.2020 10:25
30;Кабардино-Балкарская Республика;МИНЗДРАВ КБР;МРТ;1,5;;SIGNACreator;1;77 704 577,00;21.01.2020 9:19
31;Калужская область;МИНИСТЕРСТВО КОНКУРЕНТНОЙ ПОЛИТИКИ КАЛУЖСКОЙ ОБЛАСТИ;КТ;онко;Toshiba/Canon;Aquilion LB (TSX-201A) ;1;65 700 000,00;15.01.2020 10:05
32;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;АГ;ПП;Philips;Azurion 7 M20 ;1;65 000 000,00;
33;Тамбовская область;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ТАМБОВСКОЙ ОБЛАСТИ;АГ;ПП;Philips;Azurion 7 M20 ;1;49 725 000,00;14.01.2020 11:39
34;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;КТ;64;Toshiba/Canon;Aquilion Lightning (TSX-036A) ;1;39 848 300,00;21.01.2020 10:00
35;Санкт-Петербург;АДМИНИСТРАЦИЯ ПУШКИНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;КТ;32;GE;Optima CT520 ;1;37 422 000,00;15.01.2020 10:40
36;Кемеровская область;ДКС КО;РХА;ПП;Гелпик;РЕНЕКС;1;12 000 000,00;16.01.2020 10:00
37;Кемеровская область;ДКС КО;РХА;ПП;Гелпик;РЕНЕКС;1;12 000 000,00;16.01.2020 10:00
38;Кемеровская область;ДКС КО;АПР;ППМ;Гелпик;РЕНЕКС;1;7 000 000,00;16.01.2020 9:00
39;Кемеровская область;ДКС КО;АПР;ППМ;Гелпик;РЕНЕКС;1;7 000 000,00;16.01.2020 9:00
40;Кемеровская область;ДКС КО;АПР;ППМ;Гелпик;РЕНЕКС;1;7 000 000,00;16.01.2020 9:00
41;Курская область;КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ КУРСКОЙ ОБЛАСТИ;АПР;ППМ;Амико;;1;8 536 666,67;23.01.2020 9:42
42;Москва;ФГБУ ФНКЦСМ ФМБА РОССИИ;МРТ/а;;;КММПМРТ;1;187 637 597,50;18.03.2020 9:05
43;Республика Мордовия;"ГКУ РМ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";Ма;CCD;Ворсма ТД;ВМК «Лучевая диагностика» ;1;12 845 528,00;17.01.2020 10:55
44;Республика Мордовия;"ГКУ РМ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";Ма;CCD;Ворсма ТД;ВМК «Лучевая диагностика» ;1;12 845 528,00;17.01.2020 10:55
45;Республика Мордовия;"ГКУ РМ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";Ма;CCD;Ворсма ТД;ВМК «Лучевая диагностика» ;1;12 845 528,00;17.01.2020 10:55
46;Республика Мордовия;"ГКУ РМ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";Ма;CCD;Ворсма ТД;ВМК «Лучевая диагностика» ;1;12 845 528,00;17.01.2020 10:55
47;Республика Мордовия;"ГКУ РМ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";Ма;CCD;Ворсма ТД;ВМК «Лучевая диагностика» ;1;12 845 528,00;17.01.2020 10:55
48;Республика Мордовия;"ГКУ РМ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";Ма;CCD;Ворсма ТД;ВМК «Лучевая диагностика» ;1;12 845 528,00;17.01.2020 10:55
49;Республика Мордовия;"ГКУ РМ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";Ма;CCD;Ворсма ТД;ВМК «Лучевая диагностика» ;1;12 845 528,00;17.01.2020 10:55
50;Республика Мордовия;"ГКУ РМ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";Ма;CCD;Ворсма ТД;ВМК «Лучевая диагностика» ;1;12 845 528,00;17.01.2020 10:55
51;Республика Мордовия;"ГКУ РМ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";Ма;CCD;Ворсма ТД;ВМК «Лучевая диагностика» ;1;12 845 528,00;17.01.2020 10:55
52;Республика Мордовия;"ГКУ РМ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";Фа;CCD;Ворсма ТД;ВМК «Лучевая диагностика» ;1;9 376 194,00;17.01.2020 10:55
53;Республика Мордовия;"ГКУ РМ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";Фа;CCD;Ворсма ТД;ВМК «Лучевая диагностика» ;1;9 376 194,00;17.01.2020 10:55
54;Республика Мордовия;"ГКУ РМ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";Фа;CCD;Ворсма ТД;ВМК «Лучевая диагностика» ;1;9 376 194,00;17.01.2020 10:55
55;Севастополь;ДЕПАРТАМЕНТ ФИНАНСОВ;Фа+Ма;СЛ+CCD;Амико;подвижной КДП на базе шасси автомобиля КАМАЗ-4308;1;26 030 000,00;15.01.2020 9:35
56;Севастополь;ДЕПАРТАМЕНТ ФИНАНСОВ;Фа+Ма;СЛ+CCD;Амико;подвижной КДП на базе шасси автомобиля КАМАЗ-4308;1;26 030 000,00;15.01.2020 9:35
57;Севастополь;ДЕПАРТАМЕНТ ФИНАНСОВ;Фа+Ма;СЛ+CCD;Амико;подвижной КДП на базе шасси автомобиля КАМАЗ-4308;1;26 030 000,00;15.01.2020 9:35
58;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;АГ;ПП;Philips;Azurion 7 M20 ;1;62 953 000,00;22.01.2020 11:42
59;Санкт-Петербург;АДМИНИСТРАЦИЯ ПУШКИНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;М;ППС;GE;Senographe Pristina ;1;19 162 000,00;15.01.2020 10:45
60;Мурманская область;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ МУРМАНСКОЙ ОБЛАСТИ;АПР;ППЭ;МТЛ;МобиРен-5-МТ;1;12 333 333,00;
61;Санкт-Петербург;АДМИНИСТРАЦИЯ ВАСИЛЕОСТРОВСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;Ф;ПП;Гелпик;РЕНЕКС-Ф5000;1;6 947 820,00;15.01.2020 10:40
62;Забайкальский край;ФГБОУ ВО ЧГМА МИНЗДРАВА РОССИИ;КРД-2;ППС;Электрон;;1;13000000;10.01.2020 10:00
63;Республика Башкортостан;ГКУ ТЕХОБЕСПЕЧЕНИЕ МЗ РБ;АПР;П;Амико;;1;2 396 666,67;31.01.2020 11:00
64;Республика Коми;"ГКУ РК ""ЦЕНТР ОБЕСПЕЧЕНИЯ ОРГАНИЗАЦИИ И ПРОВЕДЕНИЯ ТОРГОВ""";КРД-2;ППС;Спектр АП;КРД-СМ 50/125-1 ;1;9 765 920,00;30.01.2020 11:00
65;Республика Коми;"ГКУ РК ""ЦЕНТР ОБЕСПЕЧЕНИЯ ОРГАНИЗАЦИИ И ПРОВЕДЕНИЯ ТОРГОВ""";КРД-2/СМ;ППС;Мосрентгенпром;АРЦП-Медиграф;1;5 235 040,00;31.01.2020 11:50
66;Республика Коми;"ГКУ РК ""ЦЕНТР ОБЕСПЕЧЕНИЯ ОРГАНИЗАЦИИ И ПРОВЕДЕНИЯ ТОРГОВ""";Фа;CCD;Ворсма ТД;ВМК «Лучевая диагностика» ;1;13 000 000,00;31.01.2020 9:20
67;Республика Коми;"ГКУ РК ""ЦЕНТР ОБЕСПЕЧЕНИЯ ОРГАНИЗАЦИИ И ПРОВЕДЕНИЯ ТОРГОВ""";Фа;CCD;Ворсма ТД;ВМК «Лучевая диагностика» ;1;13 000 000,00;31.01.2020 9:20
68;Республика Коми;"ГКУ РК ""ЦЕНТР ОБЕСПЕЧЕНИЯ ОРГАНИЗАЦИИ И ПРОВЕДЕНИЯ ТОРГОВ""";КРТ;ППД1;Спектр АП;;1;16 102 000,00;31.01.2020 11:35
69;Республика Коми;"ГКУ РК ""ЦЕНТР ОБЕСПЕЧЕНИЯ ОРГАНИЗАЦИИ И ПРОВЕДЕНИЯ ТОРГОВ""";КРТ;ППД1;Спектр АП;;1;16 102 000,00;31.01.2020 11:35
70;Республика Коми;"ГКУ РК ""ЦЕНТР ОБЕСПЕЧЕНИЯ ОРГАНИЗАЦИИ И ПРОВЕДЕНИЯ ТОРГОВ""";;ПП;;;;не состоялся;31.01.2020 12:00
71;Республика Коми;"ГКУ РК ""ЦЕНТР ОБЕСПЕЧЕНИЯ ОРГАНИЗАЦИИ И ПРОВЕДЕНИЯ ТОРГОВ""";;ПП;;;;не состоялся;31.01.2020 12:00
72;Республика Коми;"ГКУ РК ""ЦЕНТР ОБЕСПЕЧЕНИЯ ОРГАНИЗАЦИИ И ПРОВЕДЕНИЯ ТОРГОВ""";;ПП;;;;не состоялся;31.01.2020 12:00
73;Республика Коми;"ГКУ РК ""ЦЕНТР ОБЕСПЕЧЕНИЯ ОРГАНИЗАЦИИ И ПРОВЕДЕНИЯ ТОРГОВ""";;ПП;;;;не состоялся;31.01.2020 12:00
74;Республика Коми;"ГКУ РК ""ЦЕНТР ОБЕСПЕЧЕНИЯ ОРГАНИЗАЦИИ И ПРОВЕДЕНИЯ ТОРГОВ""";;ПП;;;;не состоялся;31.01.2020 12:00
75;Республика Коми;"ГКУ РК ""ЦЕНТР ОБЕСПЕЧЕНИЯ ОРГАНИЗАЦИИ И ПРОВЕДЕНИЯ ТОРГОВ""";;ПП;;;;не состоялся;31.01.2020 12:00
76;Республика Коми;"ГКУ РК ""ЦЕНТР ОБЕСПЕЧЕНИЯ ОРГАНИЗАЦИИ И ПРОВЕДЕНИЯ ТОРГОВ""";;ПП;;;;не состоялся;31.01.2020 12:00
77;Кабардино-Балкарская Республика;МИНЗДРАВ КБР;;60;;;;не состоялся;04.02.2020 9:50
78;Республика Коми;"ГКУ РК ""ЦЕНТР ОБЕСПЕЧЕНИЯ ОРГАНИЗАЦИИ И ПРОВЕДЕНИЯ ТОРГОВ""";М;ППС;Westfalia;GAIA;1;9 801 500,00;04.02.2020 9:55
79;Республика Коми;"ГКУ РК ""ЦЕНТР ОБЕСПЕЧЕНИЯ ОРГАНИЗАЦИИ И ПРОВЕДЕНИЯ ТОРГОВ""";М;ППС;Westfalia;GAIA;1;11 500 000,00;04.02.2020 9:55
80;Республика Коми;"ГКУ РК ""ЦЕНТР ОБЕСПЕЧЕНИЯ ОРГАНИЗАЦИИ И ПРОВЕДЕНИЯ ТОРГОВ""";М;ППС;Westfalia;GAIA;1;11 500 000,00;04.02.2020 9:55
81;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;Фа+Ма;;Амико;Комплекс диагностический подвижной КДП ;1;27 064 000,00;05.02.2020 9:35
82;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;Фа+Ма;;Амико;Комплекс диагностический подвижной КДП ;1;27 064 000,00;05.02.2020 9:35
83;Республика Башкортостан;ГОСКОММОНИТОРИНГ РБ;М;ППС;Амико;Маммо-РП;1;11 868 000,00;10.02.2020 9:50
84;Республика Башкортостан;ГОСКОММОНИТОРИНГ РБ;М;ППС;Амико;Маммо-РП;1;11 868 000,00;10.02.2020 9:50
85;Республика Башкортостан;ГОСКОММОНИТОРИНГ РБ;М;ППС;Амико;Маммо-РП;1;11 868 000,00;10.02.2020 9:50
86;Республика Карелия;"ГКУ ""ЦБЗ ПРИ МИНЗДРАВЕ КАРЕЛИИ""";;16;;;;отменен;05.02.2020 9:50
87;Республика Карелия;"ГКУ ""ЦБЗ ПРИ МИНЗДРАВЕ КАРЕЛИИ""";;16;;;;отменен;05.02.2020 9:50
88;Республика Карелия;"ГКУ ""ЦБЗ ПРИ МИНЗДРАВЕ КАРЕЛИИ""";;16;;;;отменен;05.02.2020 9:50
89;Липецкая область;"ГУЗ ""ЕЛЕЦКАЯ ГОРБОЛЬНИЦА № 1 ИМ. Н. А. СЕМАШКО""";РХА;УРИ;Гелпик;РЕНЕКС;1;6 599 500,00;05.02.2020 10:00
90;Липецкая область;"ГУЗ ""ЕЛЕЦКАЯ ГОРБОЛЬНИЦА № 1 ИМ. Н. А. СЕМАШКО""";КРД-2;ППМ;МТЛ;УниКоРД-МТ-Плюс;1;10 927 000,00;07.02.2020 13:05
91;Липецкая область;"ГУЗ ""ЕЛЕЦКАЯ ГОРБОЛЬНИЦА № 1 ИМ. Н. А. СЕМАШКО""";М;ППС;МТЛ;«Маммо-4МТ-Плюс»;1;12 375 000,00;07.02.2020 13:20
92;Рязанская область;"ГКУ РО ""ЦЕНТР ЗАКУПОК РЯЗАНСКОЙ ОБЛАСТИ""";АГ;ПП;Siemens;Artis one ;1;50 000 000,00;06.02.2020 11:45
93;Санкт-Петербург;АДМИНИСТРАЦИЯ КРАСНОСЕЛЬСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;КРД-2;ППМ;Гелпик;РЕНЕКС-2;1;11 698 670,00;10.02.2020 9:25
94;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;КРД-2;ППС;МТЛ;УниКоРД-МТ-Плюс;1;13 432 500,00;10.02.2020 10:05
95;Тюменская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ТЮМЕНСКОЙ ОБЛАСТИ;М;ППС;МТЛ;Маммо-4МТ-Плюс;1;12 163 500,00;11.02.2020 11:30
96;Тюменская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ТЮМЕНСКОЙ ОБЛАСТИ;М;ППС;МТЛ;Маммо-4МТ-Плюс;1;12 163 500,00;11.02.2020 11:30
97;Тюменская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ТЮМЕНСКОЙ ОБЛАСТИ;М;ППС;МТЛ;Маммо-5МТ;1;25 561 575,00;11.02.2020 10:18
98;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;КРТ;УРИ+ППМ;Электрон;"КРТ-""МАКСИМА"" ";1;16 000 000,00;10.02.2020 10:20
99;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;КРТ;УРИ+ППМ;Электрон;"КРТ-""МАКСИМА"" ";1;16 000 000,00;10.02.2020 10:20
100;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;Ф;СЛ;Медтех;Флюорограф цифровой малодозовый «КАРС» ;1;6 268 500,00;10.02.2020 10:10
101;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;Ф;СЛ;Медтех;Флюорограф цифровой малодозовый «КАРС» ;1;6 268 500,00;10.02.2020 10:10
102;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;Ф;СЛ;Медтех;Флюорограф цифровой малодозовый «КАРС» ;1;6 268 500,00;10.02.2020 10:10
103;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;Ф;СЛ;Амико;ФМцс-«ПроСкан» ;1;6 268 500,00;10.02.2020 10:10
104;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;Ф;СЛ;Амико;ФМцс-«ПроСкан» ;1;6 268 500,00;10.02.2020 10:10
105;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;Ф;СЛ;Амико;ФМцс-«ПроСкан» ;1;6 268 500,00;10.02.2020 10:10
106;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;М;ППС;МТЛ;Маммо-4МТ-Плюс;1;12 188 750,00;10.02.2020 10:25
107;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;М;ППС;МТЛ;Маммо-4МТ-Плюс;1;12 188 750,00;10.02.2020 10:25
108;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;М;ППС;МТЛ;Маммо-4МТ-Плюс;1;12 188 750,00;10.02.2020 10:25
109;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;М;ППС;МТЛ;Маммо-4МТ-Плюс;1;12 188 750,00;10.02.2020 10:25
110;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;М;ППС;МТЛ;Маммо-4МТ-Плюс;1;12 188 750,00;10.02.2020 10:25
111;Свердловская область;"ГАУЗ СО ""СООД""";;ПП;;;;отменен;20.02.2020 (МСК+2)
112;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;КРД-2;ППС;МТЛ;УниКоРД-МТ-Плюс;1;13 432 500,00;10.02.2020 10:05
113;Липецкая область;"ГУЗ ""ЛИПЕЦКАЯ ГБ СМП № 1""";КТ;64;Philips;Ingenuity СТ, Россия;1;44 786 000,00;12.02.2020 10:46
114;Свердловская область;"ГАУЗ СО ""СООД""";;16;;;;отменен;20.02.2020 (МСК+2)
115;Свердловская область;"ГАУЗ СО ""СООД""";;1;;;;отменен;21.02.2020 (МСК+2)
116;Москва;"АО ""МПО ""МЕТАЛЛИСТ""";;;14 штук;;;78 400 000,00;21.02.2020 (МСК)
117;Волгоградская область;ОБЛКОМЗАКУПКИ;КРТ;ППД2;Ренмедпром;ОМЕГА ;1;18 222 500,00;14.02.2020 10:30
118;Волгоградская область;ОБЛКОМЗАКУПКИ;КРТ;ППД2;Ренмедпром;ОМЕГА ;1;18 222 500,00;14.02.2020 10:30
119;Волгоградская область;ОБЛКОМЗАКУПКИ;КТ;онко;GE;Discovery RT ;1;61025666,67;17.02.2020 9:10
120;Волгоградская область;ОБЛКОМЗАКУПКИ;КТ;128;Philips;Ingenuity CT ;1;59892000;18.02.2020 10:10
121;Волгоградская область;ОБЛКОМЗАКУПКИ;АГ;ПП;Philips;Azurion 7 М20 (вариант 3);1;98372829,96;17.02.2020 9:20
122;Кемеровская область;"ГАУЗ КО ""НГКБ № 1""";М;ППС;н/д;;1;13 150 000,00;
123;Санкт-Петербург;АДМИНИСТРАЦИЯ ВЫБОРГСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;М;СЛ;Адани;Маммоскан;1;12 500 000,00;14.02.2020 11:32
124;Республика Коми;"ГКУ РК ""ЦЕНТР ОБЕСПЕЧЕНИЯ ОРГАНИЗАЦИИ И ПРОВЕДЕНИЯ ТОРГОВ""";Ма;;Ворсма ТД;"ВМК ""Лучевая диагностика"" ";1;18 500 000,00;14.02.2020 10:00
125;Республика Коми;"ГКУ РК ""ЦЕНТР ОБЕСПЕЧЕНИЯ ОРГАНИЗАЦИИ И ПРОВЕДЕНИЯ ТОРГОВ""";Ма;;Ворсма ТД;"ВМК ""Лучевая диагностика"" ";1;18 500 000,00;14.02.2020 10:00
126;Республика Коми;"ГКУ РК ""ЦЕНТР ОБЕСПЕЧЕНИЯ ОРГАНИЗАЦИИ И ПРОВЕДЕНИЯ ТОРГОВ""";Ма;;Ворсма ТД;"ВМК ""Лучевая диагностика"" ";1;18 500 000,00;14.02.2020 10:00
127;Кировская область;"КИРОВСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";КТ;16;Hitachi;Supria;1;24 990 000,00;
128;Кировская область;"КИРОВСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";КТ;16;Hitachi;Supria;1;24 990 000,00;
129;Кировская область;"КИРОВСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";КТ;16;Hitachi;Supria;1;24 990 000,00;
130;Кировская область;"КИРОВСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";КТ;16;Hitachi;Supria;1;25 000 000,00;
131;Севастополь;ДЕПАРТАМЕНТ ФИНАНСОВ;КТ;онко;GE;Discovery RT ;1;63 000 000,00;19.02.2020 11:05
132;Кировская область;"КОГКУ  ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";КРД-2;ППС;Севкаврентген;Диаком;1;12 300 000,00;18.02.2020 10:30
133;Кировская область;"КОГКУ  ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";КРД-2;ППС;Севкаврентген;Диаком;1;12 300 000,00;18.02.2020 10:30
